Name,Review count,Category,Rating,Price,Latitude,Longitude,Review,Rating binary,Neighborhood
Original Joe's,1822,Italian,4.0,$$,37.80021,-122.40945,"[""I have been to San Francisco a number of times and have been aware of Joe's, but never dined there.  Yesterday we had the perfect opportunity and it was..."", 'This hopping restaurant in North Beach has a fun, neighborhood yet large historic restaurant feel (historic but clean and modernly well kept) as soon as you...', ""I came here for SO's birthday dinner. If anything Original Joe's does comfort food really well, so what better place to go for a birthday dinner that...""]",4.0,
Delarosa,1804,Italian,4.0,$$,37.800287,-122.439110224537,"['Good quick eat pizza place in the Marina. \n\nWe stopped by while spending a day in SF. And wanted to try something new. \n\nWe were seated quickly as they had...', 'We chose delarosa to start our date night. We went pretty early ~6 pm since our show starts at 8. The place was pretty packed, the boyfriend did call in the...', ""The margarita wasn't spicy, and there isn't enough space for people to sit comfortably. I would not advise eating here during peak hours. I visited on a...""]",4.0,
Good Luck Dim Sum,1802,Dim Sum,4.0,$,37.7830772399902,-122.46720123291,"[""Literally love this place so much, I've already been twice over the course of three days. \n\nThe first time I got a significant number of items and it was..."", ""Dumplings are one of my favorite things to eat. Before flying back to Hawaii, my friend suggested grabbing some dim sum to eat and taking it to a park. I'm..."", 'Such solid dim sum! It was a great way to start the morning in SF. My significant other and I came here on a Saturday morning around 10am and it was...']",4.0,
Han Il Kwan,1801,Korean,4.0,$$,37.776719,-122.478278,"[""looking for a spot for traditional Korean cuisines? Han Il Kwan doesn't get more traditional than this. served with delicious ban chans, tofu soup, steamed..."", ""Mmmm this place was delicious! Haven't eaten Korean bbq in awhile so we decided to try this place. Me family and I were very satisfied. Let's start from the..."", ""One of the better kbbq places I've been to, definitely recommend. Their bulgogi, kimchi pancakes and the free tofu soup are awesome. If you need the help,...""]",4.0,
The Italian Homemade Company,1794,Italian,4.5,$$,37.801752,-122.411851,"[""craving home made pasta?\n\nliterally is in the name of the restaurant\n\never since the italian homemade opened its first location in SF - i've been a fan!..."", 'Food is great. Tasty and good portions.\n\nI removed one star because the attention to detail no so great.  I ordered delivery from the North Beach location....', ""Saw so many great reviews, but I don't understand why.\n\nPrice review\nFirst, the price was shocking! I think it would have been cheaper at Olive Garden where...""]",4.5,
Woodhouse Fish,1783,Seafood,4.0,$$,37.7676615910331,-122.42844209075,"['Hard to believe it\'s been 15 years since we used to hang out with Dylan and Rowan at the then ""new"" Woodhouse Fish Company. We got to know these guys pretty...', ""When we came, it was for the $2 oysters. I didn't know how the food would be when I came to this restaurant.\n\nThe atmosphere is airy and small but very..."", 'Went to the $1.25 Oyster Tuesdays and it was SO good. Plump and lush oysters. Fresh.\n\nGreat service.\n\nAlso tried the fried oysters, but the fresh ones were...']",4.0,
Lou's Cafe,1778,Coffee & Tea,4.5,$,37.78045,-122.47329246476228,"[""Got the make your own sandwich and the BLT (wasn't called BLT on the menu but is pretty much the same).. Dutch crunch was great! No complaints 10/10"", ""Can't stop thinking about their clam chowder paired with their cheesy garlic bread. Such an amazing combination. My go to's are the romas club or amicado,..."", ""The sandwiches are good. Not great- just good. \nSo if there's a line it won't hurt to shop around. \n\nIn general the one thing I harp on is the tipping when...""]",4.5,
Muracci's Japanese Curry & Grill,1770,Japanese Curry,4.0,$$,37.791036,-122.404233,"['Excellent!  Excellent!  Excellent!  The best Japanese curry ever!!! Delicious\n\nFriendly service as well.', 'UPDATE:\n\nI just posted this review, and when I checked the page I saw pics of the stuff I ate, and I will tell you, my katsu curry is NOT what others show!...', 'Hello I am a diner at this establishment I have been coming here for awhile. Yesterday was the first day I tried the SF location. I usually eat at the one...']",4.0,
Tommaso Ristorante Italiano,1746,Italian,4.5,$$,37.797778,-122.405204,"[""I am shocked I have never written a review for this yummy restaurant. Pizza, pizza, and lots of other great tasty food. This place is a gem. I've been..."", 'When we lived in San Francisco, we dined at Tomasso at least twice a month, so it was very comforting to return after an absence of several years and find...', 'Went to this gem of a spot last night. We had been wanting to check this place out since we passed by it often and the parklet had a nice big sign of the...']",4.5,
Tacolicious,1728,Cocktail Bars,3.5,$$,37.8004125,-122.4404725,"[""I went to Tacolicious a couple of times when they were at the original location on Chestnut Street near Fillmore. It's an above average place in the Marina..."", 'After playing a round of tennis yesterday, my girlfriend and I stumbled upon this place in the Marina while walking along busy Chestnut street. \n\nWe were...', ""Every time I'm in town, I try to stop by this location. I've been going to Tacolicious for a very long time; back when they were at the other location on...""]",3.5,
Pacific Catch,1719,Seafood,4.0,$$,37.80057,-122.43652,"['Wow this place is sooooo good \nThe best sea food in the city\n For all the people they like poke this is the POlace', ""The food was pretty good but it's very pricey relative to the amount of protein you receive. \nI placed a to-go order for the Mexican bowl (shrimp + extra..."", 'Great location. Great ambience. Our date rendezvous consisted of two bowls: chicken teriyaki and the big kahuna. Calamari started off the evening, which was...']",4.0,
Bella Trattoria,1715,Italian,4.5,$$,37.78136,-122.46092107729817,"['Anita, Emma, David, and the rest of the Bella crew made my visit a fantastic experience.\n\nAfter a heavy dim sum brunch, I came here during happy hour (from...', 'Exceeded my expectations in every way!\n\nI made a last minute reservation for a Saturday night. I was seated as soon as I entered Bella trattoria in a great...', 'UMMMM WTF WAS THAT\n\n\nwe spent the day in the city and desperately wanted a good Italian meal. We found this place on Yelp and the reviews looked promising....']",4.5,
Crepevine Restaurants,1710,Creperies,4.0,$$,37.76435,-122.46467,"['The food selection here was huge and so were the portions! A great place for brunch with indoor + outdoor seating. \nPricing: great for the portions and...', 'We went to Crepevine for a late breakfast/early lunch. Daughter and I split a California omelette, and it was more than enough food as it came with home...', ""Food: I've gone here a few times and it's a great neighborhood breakfast/lunch spot. I love the variety of food they have, from sweet to savory. They have...""]",4.0,
Cotogna,1682,Italian,4.0,$$$,37.7975,-122.40336,"['This review has been sitting in my drafts for a while so some of the menu items might not be available as they keep changing the menu. We went for a...', 'Been on my list and I was finally able to try it out!\n\nCame here for a work lunch on a Wednesday. We made reservations a month in advance and this place...', 'Sheeeeeeesh, the aesthetic both inside and outside were charming af! We started the meal with two cocktails: Fiore Di Maggio and Fumo Di Mais. Both were...']",4.0,
The Alembic,1680,American (New),4.0,$$,37.769371,-122.451176,"['OG craft cocktail bar that continues to deliver. \n\nRefreshingly aromatic cocktails, thoughtful staff, and a laid back vibe that complements the bookstore...', 'Amazing drinks and food!  We just dined here tonight. \nWe had the night market, golden child, black Manhattan and white negroni. We also had the potato...', ""About half the time I try to go here they're closed and usually without any word on their Instagram or website, but the drinks are so good I don't bat an...""]",4.0,
Garaje,1679,Mexican,4.5,$$,37.781752952057,-122.396121970462,"['Gotta get the Cali Steak\nWill be back to try the rest of the zapatos\nTop 5 mexican place in the city', 'Came here with a group of 6 on a Tuesday after work. It was pretty busy, we were a bit worried about not finding a table but it worked out. \n\nDive bar...', 'The atmosphere gives off a dive bar vibe. Once you enter Garaje, you walk straight down toward the other end of the restaurant where a cashier takes your...']",4.5,
Hinodeya Ramen Bar,1673,Ramen,4.0,$$,37.7861574638014,-122.430057115853,"['The best ramen I ever had, I got the level 10 and they did a great job of balancing the flavor with spice. Props to the chefs! Nonetheless the spice left me...', 'My favorite vegan ramen in the city!!! The flavors are PACKED and all the toppings are soooo good! Squash? Yes. Inari??? Yes! And the staff is so attentive,...', 'Came here with a friend who was visiting from out of town. We had just gotten back from a giant sandcastle building competition on the beach so we wanted...']",4.0,
Toyose,1665,Korean,3.5,$$,37.753199,-122.504706,"[""Toyose is nothing but nostalgic to me since I remember the first time I came here, it was during my college days :') I remember the food being really good,..."", ""I've been to Toyose a handful of times over the years and I always go back every once in a while.  It's a great casual local spot for late night cravings,..."", ""Since the last time that one or the waitress here really made me feel unwelcome, I haven't been here for a long time. Yesterday, we were taking a walk...""]",3.5,
La Mediterranee,1658,Middle Eastern,4.0,$$,37.7900665,-122.4338783,"['I had a very positive experience with La Mediterranean.  I ordered over $2,000 dollars of food for a office party to be delivered at the time of the party....', ""This place is fantastic! It's cozy (but not loud or cramped) and the food is delicious.  My favorites are the kibbeh dinner, Armenian potato salad, lemon..."", ""How is it that I lived in Lower Pac Heights for 4.5 years and today was my first time coming here?! Now don't get me wrong - I have walked by this place a...""]",4.0,
The Pink Elephant,1657,Breakfast & Brunch,4.0,$$$,37.78682,-122.40049,"['The most amazing bar in San Francisco! The service is amazing and so hospitable; they go out of their way to please you! \n\nWe were here for Dreamforce and...', 'Came here for Dreamforce conference and the place rocks! The servers are amazing and so nice. \n\nThe food was awesome. Truffle fries, tacos, sliders and...', 'Food was great, vibe was great, location was a bit difficult to find but that kind of works well and keeps the area a bit low key.\n\nPortions were insane, we...']",4.0,
Barbacco,1637,Italian,4.0,$$,37.7935921194034,-122.399338591436,"['My overall experience here was great. The ambiance of this restaurant is fantastic, and the service is top-notch. We came in without reservations, were...', ""Found this near my team's hotel and was ecstatic to try this place because of the posted reviews... but I was disappointed in the later half of the meal...."", ""Tonight was the second time I've been here, both times for dinner. The first was just before the pandemic and today. The service was prompt and friendly. My...""]",4.0,
Pica Pica Arepa Kitchen,1629,Gluten-Free,4.0,$$,37.76646996177495,-122.42190694110414,"[""Not sure if I will make effort to return and here is why. \n\nPARKING\nI came on a Sunday because I was in the area. Almost didn't make it because parking was..."", 'I went to dinner with some friends here.  The food was different and very tasty.  The entrees ranged from small to a full meal.  We got the nachos as an...', 'This was my first time trying an arepa, and it was great! I ordered the sweet yellow arepa with the shuli filling. Normally, when I order vegan food at a...']",4.0,
Souvla,1627,Greek,4.0,$$,37.77643,-122.425,"[""Souvla is one of my favorite restaurants in the city. Been ordering from here for a few years now and it's consistently fresh and delicious and is always..."", ""My first time trying this place! I ordered the lamb sandwich and lamb salad - while I thought the meat was good, I didn't find the meal particularly..."", 'I love Greek food and after seeing the good reviews for souvla I had to stop by and try it. \nI ordered the chicken sandwich (more of a wrap). It was really...']",4.0,
Anchor Oyster Bar,1604,Seafood,4.5,$$,37.759701649632525,-122.43476121686464,"['Had to come back again since the last time we were here the food was amazingly fresh, tasty and great service. Just want to post a few new photos from this...', 'Full disclosure, I am a repeat offender of this fine business.\n\nThe menu changes slightly with the availability of fresh fish and other seafood. Anchor has...', 'Came here around 3pm and waited about 15-20 minutes on a Friday. One of the waiters asked if we would like to order a beverage while waiting. Awesome...']",4.5,
Sushirrito,1597,Japanese,4.0,$$,37.79019,-122.40366,"['Great place! The vegan ""edamale"" was amazing, people were friendly and helpful and the order took barely a minute. Recommended!', 'This place is great! \nI got my first Sushirrito in San Francisco couple of days ago, and even though I was skeptical about the idea, my sushirrito was...', ""Having been to a Sushirrito before this is a delicious meal. These places come to mind when I visit food trucks and they also offer sushirritos. It's such a...""]",4.0,
Tacolicious,1596,Caterers,3.5,$$,37.76095,-122.421331,"['Came here late night Saturday and stayed till close.\nOrdered the ""papi Hemingway"" To drink which was delicious. Love mezcal.\nTo eat, had 2 carnita tacos (4...', ""Came here for lunch and drinks. Love the location of this Tacolicious in the Mission. I've also been to the Tacolicious in Palo Alto but this location of..."", ""Really mixed emotions about this place mostly because I think the food doesn't match the prices. I think what you are paying for here is the vibe and...""]",3.5,
Prospect,1593,American (New),4.0,$$$,37.7898081,-122.39095881165656,"[""Came here for an after work happy hour / dinner, which seems to be their target crowd (and everything is priced as such). In light of that, it's still a..."", 'This review is long overdue and written for my two favorite bartenders in San Francisco, Abraham and Jasec! The service that my boyfriend and I receive from...', ""Prospect is an upscale New American restaurant. I came here for a business dinner, so I wasn't able to take pictures of all the foods that I sampled. My...""]",4.0,
Eight AM,1587,American (New),4.5,$$,37.80627591985745,-122.41919541296622,"['Staff was friendly and the food was delicious . Everyone in our group of 6 enjoyed their meal.', 'first time in San Francisco and we decided to try a breakfast restaurant this morning and we were definitely not disappointed. the fruity waffles with the...', ""We are locals but live about 2 hours away now so decided to play 'tourist' \nChecked online for places to eat near our hotel and this place popped up....""]",4.5,
Il Casaro Pizzeria & Mozzarella Bar - North Beach,1565,Italian,4.5,$$,37.79852,-122.40739,"[""Great wine selection and great wood fired pizza selections and great beat salad and sells casa salad. It's very modest looking but should not be ignored...."", ""My boyfriend found this place via yelp reviews, & it was SUCH a good pick. We made a reservation for the two of us, but I've walked up the past & only..."", 'Who else has pizza for dessert, post-dinner??? This place knows how to do pizza! I got the margherita and added the Italian sausage. This place gives off an...']",4.5,
Original Joe's Westlake,1565,American (Traditional),4.0,$$,37.70171,-122.48584,"['I attended a dinner party with a large group of coworkers on a busy Friday night. I was extremely happy and grateful that the staff was so accommodating of...', 'Came here for a birthday dinner with 10 adults plus kids on a work/school night.  It was busy as usual.  We were seated on time, and the waitress was really...', ""Are you kidding me; how long has gem been hiding in Westlake?\n\nOur dining experience was incredible. \n\nAs a lifelong Marin Joe's patron, I enthusiastically...""]",4.0,
The Little Chihuahua,1564,Mexican,4.0,$$,37.7720399,-122.43688,"['If I could give this place more than 5 stars I would! I have tried their amazingly spiced soyrizo, salmon, plantain and bean tacos, burrito bowls, burritos...', ""I didn't hate the salad as I'm a sucker for corn and avocado in salads. The chipotle dressing also had the perfect amount of spice. \n\nMore so sad about the..."", 'Had lunch catered by employer. 3 locations and they emphasize the use of organic and healthy ingredients.\n\nGot the chicken burrito that comes with beans,...']",4.0,
Lime Tree Southeast Asian Kitchen,1555,Malaysian,4.0,$$,37.764337,-122.462736,"['Such a cute hole-in-the-wall! We stumbled upon this restaurant while walking down Irving, and though it looks unassuming, we checked Yelp and were...', '- came on a tuesday night and it was empty, which was good because my entire group (~23 people) took up the entire restaurant\n- looks family owned, the...', ""They still exist! Affordable hole-in-the-wall places that serve up good food. Don't expect a fancy interior or a pampering service: you order food, have fun...""]",4.0,
Delarosa,1536,Pizza,4.0,$$,37.78566225574775,-122.4042726198749,"['Very busy around 12:00 pm on a weekday. Service is good and the restaurant is very clean. Can be a very loud atmosphere during the lunch rush but much...', ""With HOW popping Delarosa is, I expected it to be mind blowing, but it's just not my vibe. \n\nI've been twice on different days of the week, and somehow both..."", '10.02.2022 | 11:30am\n\nLocation: this location is tucked away in Yerba Buena Gardens with the closest entrance on Mission St in between 3rd and 5th Street....']",4.0,
Frances,1532,American (New),4.5,$$$,37.7627220154927,-122.432276324008,"['One of our favorite meals in San Francisco at this local corner restaurant in the Castro by Chef Melissa Perello. Pre-fixed dinner menu of eight dishes with...', 'Dined at Frances and the food was overall good but not exciting; service was on point.\nWe also experience credit card theft while dinning at this restaurant...', ""We tried the tasting menu which was 7-8items.  I enjoyed the Majority of the food except for the last one: the cod. It was like half cooked and I don't know...""]",4.5,
Yummy Yummy,1531,Vietnamese,4.0,$$,37.76368,-122.46879,"[""Potentially the best pho I've ever had (and I've had quite a lot of pho)!! We came in on a busy Sunday afternoon but only had a ~10 min wait. I ordered the..."", ""- staff are really nice, though you will need to flag them down to order and get your check \n\n- #2 Phở Đặc Biệt (5/5): i normally don't think pho is that..."", ""We walked into this restaurant and even though my partner hasn't visited in over a decade, the restaurants' staff recognized him and asked about his...""]",4.0,
Lavash,1527,Persian/Iranian,4.0,$$,37.76406989831434,-122.46342441895987,"['Highly recommend the goat tongue and Lavash special. And please try the rose water noodle dessert, so refreshing!', 'The food is ok! The owner has attitude! But the workers are very sweet! And the stars are just for them.', 'i was back in town and began to dream of Lavash.\nEach dish mor stellar than the last. \nmy advice -- try the Lentil soup and Feta, I adore the lamb shank,...']",4.0,
Pizzeria Delfina - Pacific Heights,1522,Pizza,4.0,$$,37.789104,-122.434441,"['Super cute spot to come for brunch! Had a good amount of availability when we came so we got a good seat outside. \n\nThey provide free mini hard breadsticks....', 'Experience: I went here on a casual Saturday night. They just started doing reservations recently. Our waitress was very kind and helpful. She gave a good...', 'Our dinner were delicious great service, staffs are friendly and professional. \n\nBurrata with arugula; Salsiccia pie; meat balls; and last but not least the...']",4.0,
Firefly Restaurant,1506,American (New),4.0,$$$,37.751206,-122.438189,"['Truly an unbelievable experience. As someone with celiac, I have never had such an incredible time at a restaurant. \n\nFrom the Brazilian cheese buns to the...', 'Table for three, two of us ordered fried chicken, burnt and disgusting, the entire entree was bad and served, at best, warm. \nApps of sticky sweet potatoes...', 'A cute, reasonably priced restaurant in Noe Valley. The menu is imaginative, packing creative combinations into enticing options. \n\nI went with the prix fix...']",4.0,
Burma Love,1502,Burmese,4.0,$$,37.76961,-122.42205,"['It was our first time in this place. The food and service were simply amazing. We plan to come with the whole family to try everything at once.', ""The food is delicious and so flavorful!!! I've been a few times and order something new every time, and it's always a hit. The cocktails are really good..."", 'Fave spot in the bay. Tea leaf salad is a must have....and as a vegetarian the Fiery Tofu is my go to entree.\n\nPacked with flavor, excellent service and...']",4.0,
Piccino Restaurant,1489,Italian,4.0,$$,37.75762,-122.38992,"['Salsiccia\n Mannn let me start off with sayin 2 bites in and my stomach was having a party so delicous and served perfectly warm not crazy hot enjoyed every...', ""Delicious brunch spot in Dogpatch! Our friends took us here as their neighborhood go-to and it didn't disappoint. We were able to make day of reservations..."", '""As a brunch to have a girls talk in SF with one of my close friends in the area, we were originally go try walking-in another brunch place but we got there...']",4.0,
Limoncello,1487,Sandwiches,5.0,$$,37.7873184067081,-122.423591369312,"['Nice deli with Italian groceries, wine, and beer for sale. There are outside and limited indoor seating. \n\nI got The Godfather sandwich and it was OK the...', 'Aesthetic Italian store, huge sandwiches, slow service \n\nI called ahead to order my sandwich bc I had read reviews on how slow the service can be, and I...', 'I was visiting my daughter & son-law and we  stopped by Limoncello on our way to a park in San Francisco to pick up some Italian sandwiches. We had a little...']",5.0,
Daeho Kalbijjim & Beef Soup,1485,Korean,4.5,$$$,37.78601,-122.42858,"['Fast phase service and ofcourse Good!Good!Good! food!went there for the weekend and they have a long waitlist, but i can say it is WORTH THE WAIT!', ""100% love their combination beef soup and cheese Kalbijjim! Very flavorful beef ribs and cream soup, great to have it to warm up in the cold winter! \n\n(It's..."", 'Decided to come here for dinner with a few friends on a Friday night. We put ourselves on the wait list prior to arriving and our tables were ready by the...']",4.5,
Mission Rock Resort,1483,Seafood,4.0,$$,37.76552933,-122.38659867,,4.0,
Perilla,1477,Vietnamese,4.0,$$,37.76415,-122.46711,"['#27 imperial rolls & 5-spice chicken garlic noodle is *fantastic*! Noodles are garlicky and perfectly al dente. Egg rolls are SO crispy and tasty...', ""This was the Vietnamese place I had heard most about after moving to SF. I'm never in Inner Sunset so was excited to head over on for a Saturday dinner!..."", 'Love this place. Their portions are giant yet delicious. We ordered the five spice chicken with garlic noodles and imperial rolls. And the grilled pork with...']",4.0,
Home Plate,1465,Breakfast & Brunch,4.0,$$,37.79990506085279,-122.4371697,"['Looking for a nice homey brunch with family. Your next stop should be Home Plate. This amazing restaurant is full with love and great food and services....', 'Everything at this restaurant was a disaster, starting with the hostess, who looked like she would shank anyone who approached her. Why you would chose the...', ""Great food and service. Pancakes are the bomb. Family-friendly. Cute spot. However, please replace\nChairs or clean them. They're so dirty and unappealing to...""]",4.0,
Nob Hill Cafe,1436,Italian,4.0,$$,37.7932599,-122.41262,"['Service: 5/5 Michael (the owner I think) is incredibly welcoming, attentive, and hospitable. They were even willing to add chicken to my friends dish (he...', 'I came back after hearing some more questionable reviews and am sad to say I was quite disappointed! \n\nThe carbonara was super oily and not that flavorful,...', 'Back in San Francisco for the first time in 4 years and one of our favorite local hangouts was definitely on the list to visit. A neighborhood place near...']",4.0,
Rich Table,1435,American (New),4.0,$$$,37.77485,-122.42284,"['I celebrated a birthday here in a group of four, and we had a great time! Food and drinks were all on point and service was extremely attentive. \n\nPorcini...', 'Make the reservation as soon as the books open. Order everything. Enjoy.\n\nNo but seriously the smashed cucumber dish with the sesame garlic yogurt and chili...', 'This place is bomb. From food to service, everything was top notch. We made a reservations but still had to wait about 30 mins to be seated. The wait staff...']",4.0,
Pork Store Cafe,1430,Breakfast & Brunch,4.0,$$,37.77000159022243,-122.44625344061387,"[""I struggled with this review. \n\nFor what it is, this is a five star place. Overall, maybe four?\n\nIt's a 'greasy spoon'. The gate is heavy, meaty, greasy,..."", 'TLDR: rating is based on a bad experience, food is good.\n\nCame here for brunch on Sunday morning and it was PACKED!\n\nWe were a group of 5 & waited for about...', 'A classic diner style breakfast with great service and tasty food! When we arrived we had a small wait but the waitress came out with coffee mugs and...']",4.0,
Pizzetta 211,1413,Pizza,4.5,$$,37.783684,-122.482974,"['Easily my favorite spot in SF. Came by for Pearl (also amazing), and was convinced to come back for Pizzetta. As a New Yorker, I was skeptical of California...', '*calls to order a spicy coppa pizza* .... Have you seen our updated menu from our website? We change it every two weeks *doohhhh sorry I shall call back*...', 'Out in the quiet residential neighborhood a warm glow falls on the beautiful sidewalk in front of this rustic cozy teeny restaurant.  A pizza oasis,  like a...']",4.5,
Super Duper Burgers,1411,Burgers,4.0,$$,37.76395,-122.43373,"['The food was really good. I got a mini burger with avocado, the staff is very friendly. Will definitely be coming back soon.', 'Wow oh wow. As a former socal resident, I will gladly exclaim that this place is better than in n out. \n\nLove that their burger is filling and comes with...', ""There is something not right with their self-ordering kiosk.  I ordered and paid for a kid cone   I waited. Many other people's orders delivered and 10...""]",4.0,
Chez Maman West,1404,French,4.0,$$,37.776988,-122.423164,"['Welcome to Hayes Valley, on a Sunday brunch definitely pull up to the most exclusive brunch spots in the city! \n\nChez Maman always has a line packed out the...', ""First time here for brunch and they didn't fail me at all. We didn't make any reservation (not sure if you can or not), just walked in on Saturday for..."", ""One of my favorite brunch places in Hayes Valley! While I'm not usually one to wait in long lines for a brunch (or anything, really), I never seem able to...""]",4.0,
Tartine Manufactory,1396,Bakeries,3.5,$$,37.7618402321822,-122.41198167347,"['Not too sure what took me so long to visit Tartine, specifically this location as their interiors are published on social media every now and then, but...', 'This place is one of my favorite bakery to go to in the city.\nGood selection of bread and also this is my first time dine in. On their menu has salad and...', ""We came here at 12:30 pm on a Sunday and easily got bar seating for 2. It's a rustic spot, great for casual breakfast and lunch.\n\nWe tried the chocolate...""]",3.5,
Parada 22,1385,Latin American,4.0,$$,37.769217,-122.4521212,"['The waiter was super accommodating and thoughtful. We got there with our pup and the waiter made sure our pup has water too. He moved us to one of the patio...', ""I don't know if I've ever had Puerto Rican cuisine prior to Parada 22, but I'm so happy I live pretty close to here, so I can try more of their dishes more..."", 'Vegetarian plate was generally okay - the white beans and yucca were more saucy than I expected but ratio of rice was not quite there. Some nice flavors for...']",4.0,
Cafe Bunn Mi,1383,Vietnamese,4.0,$$,37.78273,-122.46369,"['Very good crispy duck bánh mì. Good size and soft yet crispy bread. \n\nThe interior is a bit unwelcoming so I always get my sandwich to go.', ""There are so many great eating establishments on Clement that it can be hard to standout. But the duck banh mi is truly a standout. \n\nI've had the..."", ""Lined up. Saw two guys working  in the front, unmasked. All the kitchen staff, women, masked. Line was slow, decided to leave. \n\nYou don't have to wear a...""]",4.0,
a Mano,1382,Italian,4.0,$$,37.776963880538,-122.423868469312,"['Out of towners here... literally the best dinner we had in San Francisco! Will be recommending to everyone we know. AJ you are amazing! thank you for the...', 'Thanks Kyle, for excellent service! \n\nI appreciated that they put together a menu for restaurant week that is really a steal for 1-2 people. By offering a...', ""I've eaten at a Mano before in the past and enjoyed the food but had a rather disappointing experience last night. My partner and I ordered the margherita...""]",4.0,
Tín Vietnamese Cuisine,1382,Vietnamese,4.0,$$,37.780772,-122.40568,"['This place exceeded my expectations! I was expecting average vietnamese food but the flavors here are actually really really good. \n\nHighly recommend:\n-...', ""Ordered via Doordash! Everyone in San Francisco knows that the best Vietnamese food in the city is in the TL - some days it's worth the hassle to head over..."", ""Taste just like my grandmas home cooked meals. I'm Vietnamese and it's usually hard to find a decent place to eat. Tin by far exceeded my expectations! \n\nI...""]",4.0,
Brenda's Meat & Three,1377,Breakfast & Brunch,4.0,$$,37.7781489203981,-122.438551256878,"[""Delicious brunch spot, doesn't lose in anything to the Polk St unit. This one takes reservations in advance! My favourites were: The shrimp and grits,..."", 'Such good vibes here. I came as a party of 6 on a Sunday noon and we were seated in about 20 minutes. \n\n- chicken sandwich (5/5)\n- French toast (3/5)\n-...', '10/16/22 Sunday 3 pm \nWe came looking for soul food in the area open past 3 pm. (Many restaurants are closed at 2 pm). Simple menu with attractive enough...']",4.0,
L’Ardoise Bistro,1365,French,4.5,$$$,37.7665241,-122.4331385,"[""You already know it's legit when you hear the servers speaking French , oui!!! Cute little restaurant on the corner of Noe. We recommend sitting inside in..."", ""L'Ardoise has long been a favorite and it did not disappoint this time.  \n\nA couple of Kirk Royal drinks to start and a pair of salads to share for the..."", 'Excellent restaurant Service 5 star, food perfect, not heavy French, but perfect in sauce, seasonings and timed perfect \nDelivered hot\nWaiter delivered...']",4.5,
Tataki,1364,Sushi Bars,4.0,$$,37.7878390504557,-122.441227674274,"['Delicious. No eel though. But everything they had was fresh and good. \n\nParking is streets. Seating is limited I was lucky to get bar seating. \n\nOtherwise...', ""I've come here a couple of times now, sometimes for HH and sometimes just for a quick bite and there's a reason why! \nTheir rolls while on the smaller side,..."", 'Made a reservation for happy hour on a Friday. We were there for the tail end of the happy hour, but we were able to order a large round.\n\nI got margarita....']",4.0,
Truly Mediterranean,1345,Mediterranean,4.0,$$,37.764755,-122.422263,"['Customer service was great cashier was also very nice would definitely recommend the spot', ""If you're in the city, make sure to check out this place! Best food, with amazing service."", 'Awesome falafel, they give you a free sample when waiting too.\n\nSuper friendly and authentic']",4.0,
LaoTable,1339,Laotian,4.0,$$,37.7875137329102,-122.398719787598,,4.0,
Roam Artisan Burgers,1321,Burgers,4.0,$$,37.787682,-122.433853,"['This place is one of the best burger spots in the city\n\nThese are great:\n-Tejano burger\n-Chalet burger\n\nThe tejano burger was especially good!\n\nSidenote:...', ""It was good. The burgers were good, fries we're good and the shakes were good. For the price point, I was expecting exceptional. The best item we ordered..."", 'Good place with attentive staff we had a bison burger, which was tasty, and the milkshake was good not great, but they gave us some flavor enhancing syrup...']",4.0,
Oasis Grill,1311,Middle Eastern,4.0,$$,37.7944464239893,-122.39679238469472,"['If you love delicious, fresh food, The Oasis Grill is a rare gem in the heart of downtown San Francisco. We arrived in  San Francisco late evening on 4th of...', ""The owner is so nice. It's a really popular place, so I wanted to give it a try. \n\nI ordered a whole feast for $70\nVeggie milk, meat wrap, to go sizes for..."", 'Great place for a fast meal! I walked in to order lunch on a Tuesday. I got the veggie wrap. It was prepared quickly and was delicious! No complaints.']",4.0,
Volcano,1303,Japanese Curry,4.0,$$,37.78067,-122.47802,"['My absolute favorite Japanese curry spot in SF. Such comforting and flavor some food. Casual spot. You order at the register, sit at whatever table is...', 'Solid four star recent visit. We were trying to go to a nearby ramen spot, but the line was 45 minutes or more.\n\nHad walked by Volcano and the curry smelled...', 'This place great.  I had the fried fish (they use the same panko  crust) with medium spicy curry sauce and it was perfect.  I also added eggplant and...']",4.0,
Eats,1293,American (Traditional),4.0,$$,37.7832999,-122.45988,"['This place is great. Delicious, relatively fast service on Sunday afternoon, and generous portions.\n\nI had the Lox Benedict and the roasted potatoes were...', 'Not a super extensive menu but just enough to provide enough variety, and allow the indecisive people make up their minds easily. \n\nChicken & waffle- Not...', 'Delicious! What a cute neighborhood spot and a vast menu to order from. You line up to place your order and pay, get a number card, then get seated either...']",4.0,
Manna,1280,Korean,4.0,$$,37.76389,-122.46725,"['いつでも行列ができるお店なので、行きたい時は平日の早めの夕飯で6時前に到着する様にしているほどの人気店です。\n一緒に行くのは韓国人の親友と。彼女は私があまり辛いのは苦手なのを知っているので、メニューに気を使ってくれますが、たまにはいつもと違うものも挑戦します。先日は、よく頼む手羽先の甘辛醤油、海鮮ネギのパンケーキ...', ""There aren't too many solid Korean restaurants in SF, so I'm glad I found this one! Though small and tightly packed, this place was the pinnacle of..."", ""An Inner sunset classic...affordable Korean eats in SF with friendly service! Manna is always a good idea. I've eaten here many times over the years and the...""]",4.0,
